pantone,name,hex,rgb,skc,family,shade,needs_review
11-4001TPG,Brilliant White,#EFF0F1,"239,240,241",0150,0,150,False
17-3938TPG,Very Peri,#6667AB,"102,103,171",6580,6,580,False
11-0601TPG,Bright White,#F5F7F6,"245,247,246",7130,7,130,False
11-0700TPG,Lucent White,#F3F4F5,"243,244,245",6140,6,140,False
11-4800TPG,Blanc de Blanc,#E9E9E7,"233,233,231",0170,0,170,False
11-4201TPG,Cloud Dancer,#F1F0EC,"241,240,236",0150,0,150,False
11-0608TPG,Coconut Milk,#F0EDE5,"240,237,229",0160,0,160,False
11-4801TPG,Tofu,#EAE6DA,"234,230,218",0180,0,180,False
11-0607TPG,Sugar Swizzle,#F3EFE7,"243,239,231",0150,0,150,False
11-1001TPG,White Alyssum,#ECE8E4,"236,232,228",0170,0,170,False
11-0602TPG,Snow White,#F0EDE7,"240,237,231",0160,0,160,False
11-4202TPG,Star White,#ECECE7,"236,236,231",0160,0,160,False
11-4300TPG,Marshmallow,#EFEDE3,"239,237,227",0160,0,160,False
11-4302TPG,Cannoli Cream,#F2F0E3,"242,240,227",0150,0,150,False
11-0103TPG,Egret,#EFEDE1,"239,237,225",0160,0,160,False
11-0104TPG,Vanilla Ice,#F1ECDD,"241,236,221",0160,0,160,False
11-0606TPG,Pristine,#EEEADB,"238,234,219",0170,0,170,False
11-0701TPG,Whisper White,#EFE8DD,"239,232,221",0170,0,170,False
12-0601TPG,Eggnog,#EAE0D2,"234,224,210",0190,0,190,False
11-0604TPG,Gardenia,#F0EAE0,"240,234,224",0160,0,160,False
11-0605TPG,Jet Stream,#EAE3DB,"234,227,219",0180,0,180,False
13-0905TPG,Birch,#DED5C6,"222,213,198",0230,0,230,False
11-0105TPG,Antique White,#EEE7D4,"238,231,212",0170,0,170,False
12-0703TPG,Seedpearl,#E3DAC2,"227,218,194",1220,1,220,True
12-0000TPG,White Swan,#E2D7C6,"226,215,198",0220,0,220,False
12-0304TPG,Whitecap Gray,#E1D7C6,"225,215,198",0220,0,220,False
13-0908TPG,Parchment,#DED1BC,"222,209,188",0240,0,240,False
13-1006TPG,Crème Brûlée,#DACBB2,"218,203,178",2260,2,260,False
12-0709TPG,Macadamia,#E7D2BA,"231,210,186",2230,2,230,False
11-0110TPG,Buttercream,#F0E3CE,"240,227,206",2180,2,180,False
11-0907TPG,Pearled Ivory,#EFE1CE,"239,225,206",2190,2,190,False
12-0704TPG,White Smoke,#ECDDC8,"236,221,200",0200,0,200,False
11-0809TPG,Ecru,#F2E1CD,"242,225,205",2190,2,190,False
12-0710TPG,Shortbread,#EFDEC3,"239,222,195",2200,2,200,False
12-0605TPG,Angora,#DED3BB,"222,211,187",0240,0,240,False
13-1008TPG,Bleached Sand,#E0D1B7,"224,209,183",2240,2,240,False
13-1104TPG,Sheer Bliss,#DFCDBC,"223,205,188",2250,2,250,False
12-1404TPG,Pink Tint,#DBCBBC,"219,203,188",0260,0,260,False
13-1107TPG,Whisper Pink,#DECDBF,"222,205,191",0250,0,250,False
13-1106TPG,Sand Dollar,#DECEBB,"222,206,187",0250,0,250,False
13-1308TPG,Brazilian Sand,#DDCCB7,"221,204,183",2250,2,250,False
12-1403TPG,Tapioca,#DDCEBA,"221,206,186",0250,0,250,False
13-0907TPG,Sandshell,#DACEBA,"218,206,186",0250,0,250,False
13-0404TPG,Ancient Scroll,#D1C7B9,"209,199,185",0270,0,270,False
13-0401TPG,Oatmeal,#CCC4B4,"204,196,180",0280,0,280,False
13-0003TPG,Perfectly Pale,#D6CCC1,"214,204,193",0260,0,260,False
13-0400TPG,French Oak,#CCC1B3,"204,193,179",0290,0,290,False
14-0002TPG,Pumice Stone,#C4BEB4,"196,190,180",0300,0,300,False
13-5304TPG,Rainy Day,#D4CBBF,"212,203,191",0260,0,260,False
13-0000TPG,Moonbeam,#D6CFC7,"214,207,199",0250,0,250,False
12-0105TPG,Bone White,#DED7C4,"222,215,196",0220,0,220,False
13-0607TPG,Fog,#D4C9B6,"212,201,182",0270,0,270,False
14-1107TPG,Oyster Gray,#CFC4B1,"207,196,177",0280,0,280,False
14-1106TPG,Peyote,#C4BCAD,"196,188,173",0310,0,310,False
15-1305TPG,Feather Gray,#C0B3A3,"192,179,163",0340,0,340,False
15-1306TPG,Oxford Tan,#BDAD9E,"189,173,158",0360,0,360,False
15-1304TPG,Humus,#B7A897,"183,168,151",0370,0,370,False
12-4302TPG,Vaporous Gray,#E1E2DB,"225,226,219",0190,0,190,False
12-4300TPG,White Onyx,#D9D8D1,"217,216,209",0220,0,220,False
13-4403TPG,Silver Birch,#CECDC1,"206,205,193",0260,0,260,False
12-4301TPG,Almond Milk,#D9D0BE,"217,208,190",0250,0,250,False
14-0105TPG,Overcast,#C4C0AA,"196,192,170",0300,0,300,False
14-6305TPG,Pelican,#C6C0B1,"198,192,177",0300,0,300,False
16-1105TPG,Plaza Taupe,#B3A898,"179,168,152",2380,2,380,False
12-5201TPG,Icicle,#DFE1D3,"223,225,211",0200,0,200,False
12-0404TPG,Light Gray,#DAD6CB,"218,214,203",0230,0,230,False
12-6204TPG,Silver Green,#D6D5C6,"214,213,198",0240,0,240,False
14-6308TPG,Alfalfa,#B9B9A4,"185,185,164",0330,0,330,False
15-6410TPG,Moss Gray,#AAA994,"170,169,148",1380,1,380,False
15-6307TPG,Agate Gray,#B4B3A5,"180,179,165",0350,0,350,False
14-6408TPG,Abbey Stone,#A5A696,"165,166,150",1390,1,390,False
12-5202TPG,Turtledove,#DED7C7,"222,215,199",0220,0,220,False
12-0104TPG,White Asparagus,#E3DECA,"227,222,202",0200,0,200,False
12-0110TPG,Pistachio Shell,#DED6BE,"222,214,190",0230,0,230,False
14-0108TPG,Castle Wall,#CEC4AE,"206,196,174",0280,0,280,False
14-0210TPG,Tidal Foam,#C4BCA4,"196,188,164",0310,0,310,False
15-0513TPG,Eucalyptus,#ADA890,"173,168,144",1380,1,380,False
15-0309TPG,Spray Green,#B2AA97,"178,170,151",1370,1,370,True
12-0311TPG,Asparagus Green,#D7D4B9,"215,212,185",0240,0,240,False
13-1007TPG,Oyster White,#D6CDB1,"214,205,177",0260,0,260,False
13-0611TPG,Moth,#D3CEB0,"211,206,176",0260,0,260,False
14-0615TPG,Green Haze,#CCC8A5,"204,200,165",0280,0,280,False
15-1115TPG,Fields of Rye,#B9AC94,"185,172,148",0360,0,360,False
17-1107TPG,Seneca Rock,#948E7C,"148,142,124",8470,8,470,True
17-0510TPG,Silver Sage,#979280,"151,146,128",8460,8,460,False
13-0513TPG,Frozen Dew,#DCD4B8,"220,212,184",0240,0,240,False
13-0711TPG,Putty,#D4CDB0,"212,205,176",0260,0,260,False
13-1105TPG,Brown Rice,#C8BCA4,"200,188,164",0310,0,310,False
