pantone,name,hex,rgb,skc,family,shade,shade_range,needs_review,lab_l,lab_a,lab_b
11-4201TPG,Cloud Dancer,#F1F0EC,"241,240,236",0147,0,147,浅色调 Tint/Light,False,94.771,-0.367,2.046
11-4001TPG,Brilliant White,#EFF0F1,"239,240,241",0148,0,148,浅色调 Tint/Light,False,94.747,-0.155,-0.599
11-4302TPG,Cannoli Cream,#F2F0E3,"242,240,227",0149,0,149,浅色调 Tint/Light,False,94.629,-1.559,6.513
11-0607TPG,Sugar Swizzle,#F3EFE7,"243,239,231",0150,0,150,浅色调 Tint/Light,False,94.55,-0.039,4.336
11-0602TPG,Snow White,#F0EDE7,"240,237,231",0156,0,156,浅色调 Tint/Light,False,93.824,-0.037,3.255
11-0608TPG,Coconut Milk,#F0EDE5,"240,237,229",0157,0,157,浅色调 Tint/Light,False,93.776,-0.379,4.224
11-4300TPG,Marshmallow,#EFEDE3,"239,237,227",0158,0,158,浅色调 Tint/Light,False,93.652,-1.058,5.074
11-0103TPG,Egret,#EFEDE1,"239,237,225",0159,0,159,浅色调 Tint/Light,False,93.605,-1.395,6.044
11-0104TPG,Vanilla Ice,#F1ECDD,"241,236,221",0160,0,160,浅色调 Tint/Light,False,93.413,-0.861,7.863
11-0107TPG,Papyrus,#F1ECD8,"241,236,216",0161,0,161,浅色调 Tint/Light,False,93.298,-1.67,10.295
11-4202TPG,Star White,#ECECE7,"236,236,231",0162,0,162,浅色调 Tint/Light,False,93.274,-0.879,2.419
11-0205TPG,Glass Green,#EEEDD1,"238,237,209",0163,0,163,浅色调 Tint/Light,False,93.167,-4.336,13.705
11-0108TPG,Solitary Star,#F0EBDB,"240,235,219",0164,0,164,浅色调 Tint/Light,False,93.039,-1.024,8.356
11-0604TPG,Gardenia,#F0EAE0,"240,234,224",0165,0,165,浅色调 Tint/Light,False,92.906,0.311,5.565
11-1302TPG,Sea Salt,#F1E9E0,"241,233,224",0166,0,166,浅色调 Tint/Light,False,92.734,1.166,5.326
11-0609TPG,Ethereal Green,#EDECCC,"237,236,204",0167,0,167,浅色调 Tint/Light,False,92.732,-4.958,15.666
11-0606TPG,Pristine,#EEEADB,"238,234,219",0168,0,168,浅色调 Tint/Light,False,92.636,-1.207,7.756
11-1404TPG,Powder Puff,#F3E7DC,"243,231,220",0169,0,169,浅色调 Tint/Light,False,92.298,2.224,6.801
11-4800TPG,Blanc de Blanc,#E9E9E7,"233,233,231",0170,0,170,浅色调 Tint/Light,False,92.297,-0.355,0.969
11-0701TPG,Whisper White,#EFE8DD,"239,232,221",0171,0,171,浅色调 Tint/Light,False,92.258,0.49,6.182
11-1001TPG,White Alyssum,#ECE8E4,"236,232,228",0172,0,172,浅色调 Tint/Light,False,92.197,0.647,2.417
12-1106TPG,Sheer Pink,#F2E7DB,"242,231,219",0173,0,173,浅色调 Tint/Light,False,92.196,1.714,7.164
11-1006TPG,Slightly Pink,#EDE6E2,"237,230,226",0174,0,174,浅色调 Tint/Light,False,91.725,1.671,2.783
